# Synonym replacements applied IN ORDER before matching.
# Format: <source><TAB><target>.  Empty target = delete the source phrase.
# ORDER MATTERS (sequential replace). Provenance: MATCHER_CHANGES.txt.

cooking cream, low fat	cream, household
cooking cream, 15	cream, household
cooking cream	cream, household
cream, cooking, light	cream, household
cream, cooking, low fat	cream, household
cream, cooking	cream, household
sour cream	cream, sour
marsala wine, sweet	marsala wine
soy sauce, reduced salt	soy sauce
soy sauce, low sodium	soy sauce
white wholemeal flour	wheat flour
wholemeal flour, for crust	wheat flour
white whole wheat flour	wheat flour
flour, whole wheat pastry	wholemeal flour
whole grain flour, spelt	wholemeal flour
strong white bread flour	wheat flour
white bread flour	wheat flour
white flour	wheat flour
flour, wheat, white, type 450	wheat flour
flour, wheat, white, type 405	wheat flour
flour, wheat, refined, all-purpose	wheat flour
flour, wheat, generic	wheat flour
flour, wheat, refined	wheat flour
black peppercorns	black pepper
peppercorns	black pepper
whole peppercorns	black pepper
pearl barley	barley
pearl onions	onion
pearl onion	onion
split peas	peas, split
split pea	peas, split
sushi rice	rice
brown sushi rice	rice, brown
brown rice	rice, brown
chestnut mushrooms	mushroom
chestnut mushroom	mushroom
mushrooms, chestnut	mushroom
mixed mushrooms	mushroom
mixed mushroom	mushroom
gram flour	chickpea flour
besan	chickpea flour
almond flakes	almonds
almond kernels	almonds
slivered almonds	almonds
almond slivers	almonds
flaked almonds	almonds
toasted almonds	almonds
vegetable oil, canola	oil, rapeseed
vegetable oil, for frying	oil, rapeseed
vegetable oil, for stir-frying	oil, rapeseed
vegetable oil, for cooking	oil, rapeseed
vegetable oil	oil, rapeseed
green chili, fresh	sweet pepper, green
green chili, fresh, seeds removed	sweet pepper, green
green chili, fresh, seeds removed, minced	sweet pepper, green
green chili	sweet pepper, green
green chiles	sweet pepper, green
green chile	sweet pepper, green
green chilies	sweet pepper, green
roasted green chiles	sweet pepper, green
roasted green chile	sweet pepper, green
maize starch	corn starch
unrefined cane sugar	sugar, brown
raw cane sugar	sugar, brown
white sugar	sugar, white
pierogies	pasta, plain
pierogi	pasta, plain
bihon noodles	noodles, rice
bihon noodle	noodles, rice
pancit canton	noodles, wheat
canton noodles	noodles, wheat
andouille sausage	sausage, pork, smoked
andouille	sausage, pork, smoked
hake fillet	cod, fillet
hake	cod
canned crab meat	king crab
crab meat, cooked, drained	king crab
crab meat, cooked, white, drained	king crab
crab meat, cooked, white	king crab
crab meat, cooked, lump	king crab
crab meat, cooked, fresh	king crab
crab meat, cooked and flaked	king crab
crab meat, lump, cooked	king crab
crab meat, canned, drained	king crab
crab meat	king crab
raw tiger prawns	king prawns
tiger prawns	king prawns
clams	mussels
adobo sauce from can	adobo sauce
ice water (approx.)	ice water
ice water (for crust)	ice water
ice water, approx	ice water
masa harina, corn flour	cornmeal
corn masa harina	cornmeal
masa harina	cornmeal
reserved pasta water	water
pasta water	water
sugar, cane	sugar, white
sugar, granulated	sugar, white
sugar, regular	sugar, white
chicken mince	chicken fillet
turkey mince	turkey breast
pork loin chops	pork, striploin
pork loin chop	pork, striploin
lasagna sheets, whole wheat	pasta, plain
lasagna sheets, wholemeal	pasta, plain
lasagna sheets, dry	pasta, plain
lasagna noodles, whole wheat, dry	pasta, plain
lasagna noodles, whole wheat, uncooked	pasta, plain
lasagna noodles, whole wheat	pasta, plain
lasagna noodles, wholemeal	pasta, plain
lasagne sheets, whole wheat	pasta, plain
lasagne sheets, wholemeal	pasta, plain
lasagne sheets, dry	pasta, plain
lasagne noodles, whole wheat	pasta, plain
lasagne noodles, wholemeal	pasta, plain
lasagne sheets	pasta, plain
lasagne sheet	pasta, plain
lasagne noodles	pasta, plain
wholemeal lasagna noodles	pasta, plain
wholegrain lasagna noodles	pasta, plain
lasagna sheets	pasta, plain
lasagna sheet	pasta, plain
lasagna noodles	pasta, plain
macaroni, whole wheat, dry	pasta, plain
macaroni, whole wheat	pasta, plain
macaroni, wholemeal, dry	pasta, plain
macaroni, wholemeal	pasta, plain
whole wheat macaroni	pasta, plain
pasta, macaroni, whole wheat, dry	pasta, plain
pasta, macaroni, whole wheat	pasta, plain
whole grain egg noodles, dry	noodles with egg
whole grain egg noodles	noodles with egg
wholemeal egg noodles	noodles with egg
whole wheat egg noodles	noodles with egg
egg noodles, wholemeal, dry	noodles with egg
egg noodles, wholemeal	noodles with egg
