food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
"Salami, lean",per slice of bread,slice,,,,,,,,,
Bologna,per slice of bread,slice,,,,,,,,,
"Bologna, lean",per slice of bread,slice,,,,,,,,,
Smoke-cured ham,per slice of bread,slice,,,,,,,,,
"Sausage, Stabburpølse",per slice of bread,slice,,,,,,,,,
"Pork loin, smoked",per slice of bread,slice,,,,,,,,,
Head cheese,per slice of bread,slice,,,,,,,,,
Cured ham,per slice of bread,slice,,,,,,,,,
"Boiled ham, canned",slice,slice,,,,,25.0,,,,
"Ground meat, raw",one,piece,,,,,100.0,,,,
"Beef patties, fried",one,piece,,,,,100.0,,,,150.0
"Meat balls, canned",one,piece,,,,,9.0,,,,150.0
Chicken and turkey meat balls,one,piece,,,,,15.0,,,,150.0
Meat rissoles,one,piece,,,,,55.0,,,,150.0
Meat loaf,slice,slice,,,,,30.0,,,,150.0
"Chicken nuggets, industrially made",one,piece,,,,,20.0,,,,
"Chicken nuggets, fastfood",one,piece,,,,,16.0,,,,
"Pork patties, fried",one,piece,,,,,80.0,,,,150.0
"Chicken schnitzel, with cheese",one,piece,,,,,75.0,,,,
"Reindeer meat balls, canned",one,piece,,,,,15.0,,,,150.0
Wienerschnitzel,one,piece,,,,,150.0,,,,
"Fatty fish, raw",one,piece,,,,,,,,,175.0
"Fatty fish, prepared",one,piece,,,,,,,,,150.0
"Salmon fillet, raw",one,piece,,,,,125.0,,,,175.0
"Salmon fillet, prepared",one,piece,,,,,110.0,,,,150.0
"Trout fillet, raw",one,piece,,,,,160.0,,,,175.0
"Trout fillet, prepared",one,piece,,,,,140.0,,,,150.0
"Cod, traditional Norwegian dish, Lutefisk",one,piece,,,,,,,,,500.0
"Lean fish, raw",one,piece,,,,,,,,,270.0
"Lean fish, prepared",one,piece,,,,,,,,,200.0
"Plaice, filled, pre-fried, frozen",one,piece,,,,,150.0,,,,200.0
"Plaice fillet, rolled in breadcrumps, raw",one,piece,,,,,100.0,,,,200.0
"Saithe, rolled in flour, frozen",one,piece,,,,,90.0,,,,200.0
"Cod, filled, pre-fried, frozen",one,piece,,,,,150.0,,,,200.0
"Cod fillet, rolled in flour, raw",one,piece,,,,,100.0,,,,200.0
"Cod fillet, raw",one,piece,,,,,125.0,,,,270.0
"Cod fillet, prepared",one,piece,,,,,90.0,,,,200.0
"Anchovies, canned",one,piece,,,,,20.0,,,,
"Sprat, canned",for a slice of bread,slice,,,,,25.0,,,,
"Anchovy fillets, canned",one,piece,,,,,5.0,,,,
Fish in aspic,slice,slice,,,,,40.0,,,,
Caviar,for a slice of bread,slice,,,,,15.0,,,,
Caviar,tablespoon,tbsp,,,,,15.0,,,,
Pickled herring,for a slice of bread,slice,,,,,25.0,,,,
"Salmon, smoked, dry salted",slice,slice,,,,,25.0,,,,
"Mackerel fillet, in tomato sauce, canned",for a slice of bread,slice,,,,,40.0,,,,
"Mackerel, cold smoked, warm smoked",for a slice of bread,slice,,,,,25.0,,,,
"Roe paste, canned",for a slice of bread,slice,,,,,15.0,,,,
"Trout, smoked, dry salted",slice,slice,,,,,20.0,,,,
Fish balls,one,piece,,,,,25.0,,,,
"Fish burger, fastfood",one,piece,,,,,130.0,,,,
Fish cakes,one,piece,,,,,55.0,,,,
Fish patty,one,piece,,,,,100.0,,,,
Fish paté,slice,slice,,,,,50.0,,,,
Fish fingers,one,piece,,,,,25.0,,,,
"Fish fingers, fried",one,piece,,,,,22.0,,,,
Fish pudding,slice,slice,,,,,40.0,,,,
Cod roe,slice,slice,,,,,45.0,,,,
"Tuna, canned",tablespoon,tbsp,,,,,14.0,,,,
"Tuna, canned",decilitre,dl,,,,,95.0,,,,
"Mussel, canned",decilitre,dl,,,,,70.0,,100.0,8.0,
"Mussel, raw",portion,portion,,,,,115.0,15.0,49.0,8.0,
"Mussel, raw",decilitre,dl,,,,,70.0,,,,
"Lobster, boiled",portion,portion,,,,,150.0,,28.0,,
"Scallop, raw",,,,,,,,10.0,,8.0,
"Crab, boiled",portion,portion,,,,,150.0,,40.0,,
Crab sticks,,,,,,,,,100.0,17.0,
"Crawfish, boiled",portion,portion,,,,,150.0,,12.0,,
"Shrimps, in brine",decilitre,dl,,,,,70.0,,100.0,,
"Shrimps, battered, pre-fried",portion,portion,,,,,190.0,,100.0,7.0,
"Shrimps, battered, pre-fried, prepared",portion,portion,,,,,150.0,,100.0,5.5,
"Shrimps, boiled",portion,portion,,,,,150.0,,33.0,,
"Snails, canned",decilitre,dl,,,,,70.0,,100.0,,
Oyster,,,,,,,,100.0,10.0,10.0,
Buckwheat flour,,,65.0,10.0,11.0,4.5,,,,,
Barley flour,,,60.0,9.0,9.0,4.0,,,,,
"Wheat flour, cake flour",,,65.0,10.0,11.0,4.5,,,,,
Gluten-free cake mix,,,40.0,7.0,8.0,3.5,,,,,
"Gluten-free flour, wholemeal",,,45.0,8.0,9.0,4.0,,,,,
"Gluten-free flour, white",,,40.0,7.0,8.0,3.5,,,,,
Wholemeal flour,,,65.0,10.0,11.0,4.5,,,,,
Oatbran,,,50.0,7.0,7.0,3.0,,,,,
Oatmeal,,,55.0,7.0,7.0,3.0,,,,,
