"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Seibiff, panert, frossen 
Saithe, rolled in flour, frozen";"Mager fisk tilberedt 
Lean fish prepared";;;;;90o;"stk 
one";;;;200ģ;
"Torsk, forfritert, fylt, frossen 
Cod, filled, pre-fried, frozen";"Mager fisk tilberedt 
Lean fish prepared";;;;;150o;"stk 
one";;;;200ģ;
"Torskefilet, panert, rå 
Cod fillet, rolled in flour, raw";"Mager fisk tilberedt 
Lean fish prepared";;;;;100o;"stk 
one";;;;200ģ;
"Torskefilet, rå 
Cod fillet, raw";"Mager fisk 
Lean fish";;;;;125x;"stk 
one";;;;270d;
"Torskefilet, tilberedt 
Cod fillet, prepared";"Mager fisk tilberedt 
Lean fish prepared";;;;;90d;"stk 
one";;;;200ģ;
"Ansjos, hermetisk 
Anchovies, canned";"Fiskepålegg
 Fish spread";;;;;20ag;"stk 
one";;;;;
"Brisling, hermetisk 
Sprat, canned";"Fiskepålegg
 Fish spread";;;;;25ģ;"til en brødskive 
for a slice of bread";;;;;
"Gaffelbiter 
Anchovy fillets, canned";"Fiskepålegg
 Fish spread";;;;;5ag;"stk 
one";;;;;
"Kabaret 
Fish in aspic";"Fiskepålegg
 Fish spread";;;;;40m;"skive 
slice";;;;;
"Kaviar 
Caviar";"Fiskepålegg
 Fish spread";;;;;15ģ;"til en brødskive 
for a slice of bread";;;;;
"Kaviar 
Caviar";"Fiskepålegg
 Fish spread";;;;;15a;"spiseskje 
tablespoon";;;;;
"Kryddersild, sursild 
Pickled herring";"Fiskepålegg
 Fish spread";;;;;25ģ;"til en brødskive 
for a slice of bread";;;;;
"Laks, røkt/gravet 
Salmon, smoked, dry salted";"Fiskepålegg
 Fish spread";;;;;25a;"skive 
slice";;;;;
"Makrell i tomat, hermetisk 
Mackerel fillet, in tomato sauce, canned";"Fiskepålegg
 Fish spread";;;;;40ģ;"til en brødskive 
for a slice of bread";;;;;
"Makrell, kaldrøkt/varmrøkt 
Mackerel, cold smoked, warm smoked";"Fiskepålegg
 Fish spread";;;;;25ģ;"til en brødskive 
for a slice of bread";;;;;
"Rognleverpostei 
Roe paste, canned";"Fiskepålegg
 Fish spread";;;;;15ģ;"til en brødskive 
for a slice of bread";;;;;
"Ørret, røkt/gravet 
Trout, smoked, dry salted";"Fiskepålegg
 Fish spread";;;;;20a;"skive 
slice";;;;;
"Fiskeboller 
Fish balls";"Fiskeprodukter 
Fish products";;;;;25a;"stk 
one";;;;;
"Fiskeburger, fastfood 
Fish burger, fastfood";"Fiskeprodukter 
Fish products";;;;;130a;"stk 
one";;;;;
"Fiskekaker 
Fish cakes";"Fiskeprodukter 
Fish products";;;;;55o;"stk 
one";;;;;
"Fiskekarbonader 
Fish patty";"Fiskeprodukter 
Fish products";;;;;100o;"stk 
one";;;;;
"Fiskepaté 
Fish paté";"Fiskeprodukter 
Fish products";;;;;50n;"skive 
slice";;;;;
"Fiskepinner 
Fish fingers";"Fiskeprodukter 
Fish products";;;;;25o;"stk 
one";;;;;
"Fiskepinner, stekt 
Fish fingers, fried";"Fiskeprodukter 
Fish products";;;;;22d;"stk 
one";;;;;
"Fiskepudding 
Fish pudding";"Fiskeprodukter 
Fish products";;;;;40a;"skive 
slice";;;;;
"Torskerogn 
Cod roe";"Fiskeprodukter 
Fish products";;;;;45ag;"skive 
slice";;;;;
"Tunfisk, hermetisk 
Tuna, canned";"Fiskeprodukter 
Fish products";;;;;14a;"spiseskje 
tablespoon";;;;;
"Tunfisk, hermetisk 
Tuna, canned";"Fiskeprodukter 
Fish products";;;;;95a;"desiliter 
decilitre";;;;;
"Blåskjell, hermetisk 
Mussel, canned";"Skalldyr 
Shellfish";;;;;70ag;"desiliter 
decilitre";;100j;8f;;
"Blåskjell, rå 
Mussel, raw";"Skalldyr 
Shellfish";;;;;115r,v;"porsjon 
portion";15ag;49an;8b;;
