"Matvare
Food item";"Matvaregruppe
Foodgroup";"Vekt pr dl, g 
Weight per dl, g";"Vekt pr ms, g 
Weight per msp, g";"Vekt pr ss, g 
Weight per tbsp, g";"Vekt pr ts, g 
Weight per tsp, g";"g/enhet 
g/unit";"Enhet 
Unit";Brutto g;Spiselig del % Edible part %;Netto g;"Vekt pr porsjon, g 
Weight per portion, g";
"Potetsalat 
Potato salad";"Grønnsaker poteter 
vegetables potatoes";100a;;;;19a;"spiseskje 
tablespoon";;;;;
"Agurk 
Cucumber";"Grønnsaker 
Vegetables";55a;;;;6a;"skive 
slice";335a;97ac;325b;;
"Alfalfaspirer 
Alfalfa sprouts";"Grønnsaker 
Vegetables";20ar;;;;;;;100j;;;
"Artiskokk 
Artichoke, globe";"Grønnsaker 
Vegetables";;;;;;;330ag;43au;140b;;
"Asparges 
Asparagus";"Grønnsaker 
Vegetables";;;;;;;30a;53av;16b;;
"Aubergine 
Aubergine";"Grønnsaker 
Vegetables";30aq;;;;25al;"skive 
slice";350aq;81av;285b;;
"Babygulrot 
Baby carrot";"Grønnsaker 
Vegetables";;;;;;;;100j;4/10a;;
"Basilikum 
Basil";"Grønnsaker 
Vegetables";5a;;;;;;;64av;;;
"Blomkål 
Cauliflower";"Grønnsaker 
Vegetables";;;;;30a;"bukett 
floret";650a;74ad;480b;;
"Brennesle 
Nettle";"Grønnsaker 
Vegetables";5f;;;;;;;100j;;;
"Brokkoli 
Broccoli";"Grønnsaker 
Vegetables";;;;;25a;"bukett 
floret";460a;86ac;395b;;
"Cherrytomat 
Cherry tomato";"Grønnsaker 
Vegetables";65a;;;;;;;100j;15a;;
"Chili, rød 
Chili pepper, red";"Grønnsaker 
Vegetables";;;;;;;10aq;73an;7b;;
"Dill 
Dill";"Grønnsaker 
Vegetables";12f;;;;;;;90an;;;
"Endivesalat 
Chicory, endive";"Grønnsaker 
Vegetables";30f;;;;;;;86an;;;
"Fennikel 
Fennel";"Grønnsaker 
Vegetables";45al;;;;;;150aq;93an;140b;;
"Gresskar 
Pumpkin";"Grønnsaker 
Vegetables";55f;;;;;;;70av;;;
"Gressløk 
Chives";"Grønnsaker 
Vegetables";18ag;;;;3ag;"spiseskje 
tablespoon";;100j;;;
"Grønnkål 
Kale";"Grønnsaker 
Vegetables";55ag;;;;;;;61av;;;
"Gulrot 
Carrot";"Grønnsaker 
Vegetables";"40a (raspet 
grated)";;;;;;60/90/140a;89av;55/80/125b;;
"Hodekål 
Cabbage";"Grønnsaker 
Vegetables";"35a (snittet 
shredded)";;;;;;1250a;92k;1150b;;
"Hvitløk 
Garlic";"Grønnsaker 
Vegetables";;;;;2,5a;"fedd (med skall) 
clove (with skin)";55a;79au;45b;;
"Hvitløk, kinesisk 
Garlic, chinese";"Grønnsaker 
Vegetables";;;;;;;25a;92a;23b;;
"Ingefærrot 
Ginger root";"Grønnsaker 
Vegetables";;;;;3a;"cm rot 
cm of root";;94au;;;
"Isbergsalat, issalat 
Iceberg lettuce";"Grønnsaker 
Vegetables";25a;;;;40a;"blad 
leaf";510a;92ac;470b;;
"Jalapeño 
Jalapeño";"Grønnsaker 
Vegetables";;;;;;;15c;92av;14av;;
"Jordskokk 
Jerusalem artichoke";"Grønnsaker 
Vegetables";55a;;;;;;25a;69an;17b;;
"Kassava 
Cassava";"Grønnsaker 
Vegetables";;;;;;;490c;84av;410av;;
"Kinakål 
Cabbage, chinese";"Grønnsaker 
Vegetables";30ag;;;;;;800ag;92ac;735b;;
"Knaskegulrot, snackgulrot 
Baby carrots";"Grønnsaker 
Vegetables";;;;;;;;100j;25a;;
"Knutekål 
Kohlrabi";"Grønnsaker 
Vegetables";55f;;;;;;240c;46av;110as;;
"Koriander 
Coriander";"Grønnsaker 
Vegetables";5f;;;;;;;78au;;;
"Kålrot 
Swede";"Grønnsaker 
Vegetables";55a;;;;;;1000a;83k;830b;;
"Løk, gul/rød 
Onion, yellow/red";"Grønnsaker 
Vegetables";55a;;;;;;170a;93k;160b;;
"Mais 
Sweet corn";"Grønnsaker 
Vegetables";70f;;;;;;250o;56ac;140b;;
"Mangold, sølvbete 
Leaf beet, mangold";"Grønnsaker 
Vegetables";30n;;;;;;;92av;;;
"Nepe 
Turnip";"Grønnsaker 
Vegetables";55f;;;;;;50aq;77ac;40b;;
"Paprika 
Sweet pepper";"Grønnsaker 
Vegetables";55f;;;;10a;"skive 
slice";170a;85af;145b;;
"Pastinakk 
Parsnip";"Grønnsaker 
Vegetables";55f;;;;;;125am;80an;100b;;
"Pepperrot 
Horse-radish";"Grønnsaker 
Vegetables";;;;;2,5a;"cm rot 
cm of root";;73an;;;
"Persille 
Parsley";"Grønnsaker 
Vegetables";12ag;;;;;;;80at;;;
"Persillerot 
Parsley root";"Grønnsaker 
Vegetables";55f;;;;;;100am;91ac;90b;;
"Purreløk 
Leek";"Grønnsaker 
Vegetables";45a;;;;2a;"skive 
slice";250a;83ac;210b;;
"Rabarbra 
Rhubarb";"Grønnsaker 
Vegetables";50aq;;;;;;135c;75av;100am;;
"Radicchio rosso 
Raddichio salad";"Grønnsaker 
Vegetables";30f;;;;;;;91av;;;
"Rapidsalat 
Rapid lettuce";"Grønnsaker 
Vegetables";10a;;;;;;;94j;;;
"Reddik 
Radish";"Grønnsaker 
Vegetables";50ag;;;;;;4,2c;94ac;4ag;;
"Romanosalat 
Romaine salad";"Grønnsaker 
Vegetables";30f;;;;;;;94an;;;
"Rosenkål 
Brussel sprouts";"Grønnsaker 
Vegetables";65ag;;;;;;15ag;80an;12b;;
"Ruccolasalat 
Rocket salad";"Grønnsaker 
Vegetables";11a;;;;;;;100j;;;
"Rødbete 
Beetroot";"Grønnsaker 
Vegetables";55f;;;;;;140ag;86ac;120b;;
"Rødkål 
Cabbage, red";"Grønnsaker 
Vegetables";35f;;;;;;1500aq;80an;1200b;;
"Sellerirot 
Celariac root";"Grønnsaker 
Vegetables";50a;;;;;;780a;70ac;545b;;
"Sikorisalat 
Chicory";"Grønnsaker 
Vegetables";20ag;;;;;;;80au;;;
"Sjalottløk 
Shallot";"Grønnsaker 
Vegetables";55f;;;;;;18/60a;72au;13b/45b ;;
"Skorsonnerot, svartrot 
Salsify, black";"Grønnsaker 
Vegetables";55a;;;;;;50/120a;63an;30/75b;;
"Sopp, kantarell 
Mushroom, chantherelle";"Grønnsaker 
Vegetables";30ar;;;;;;6a;89an;5,5b;;
"Sopp, shiitake 
Mushroom, shiitake";"Grønnsaker 
Vegetables";30a;;;;;;;100j;8a;;
"Sopp, sjampinjong 
Mushroom, common";"Grønnsaker 
Vegetables";35ag;;;;;;20ag;89an;18b;;
"Sopp, østers 
Mushroom, oyster";"Grønnsaker 
Vegetables";30f;;;;;;8a;89av;7b;;
"Spinat, frossen 
Spinach, frozen";"Grønnsaker 
Vegetables";;;;;14a;"terning 
cube";;100j;;;
"Spinat, rå 
Spinach, raw";"Grønnsaker 
Vegetables";12a;;;;;;;70an;;;
"Spisskål 
Cabbage, spring green";"Grønnsaker 
Vegetables";35f;;;;;;1000aq;80an;800b;;
"Squash, zucchini 
Squash, zucchini";"Grønnsaker 
Vegetables";55a;;;;15a;"skive 
slice";300aq;95an;285b;;
"Stilkselleri, stangselleri 
Celery";"Grønnsaker 
Vegetables";50ag;;;;33ag;"stilk 
stalk";500ag;76ac;380b ;;
"Søtpotet 
Sweet potato";"Grønnsaker 
Vegetables";60f;;;;;;180c;72an;130av;;
"Tomat 
Tomato";"Grønnsaker 
Vegetables";65a;;;;13a;"skive 
slice";;100j;95a;;
"Vårløk 
Scallion, spring onion";"Grønnsaker 
Vegetables";40a;;;;;;20aq;96av;19b;;
"Blomkål, kokt 
Cauliflower, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;480d;"stk 
one";;;;;
"Blomkål, kokt 
Cauliflower, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;30d;"bukett 
floret";;;;;
"Brokkoli, kokt 
Broccoli, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;440d;"stk 
one";;;;;
"Brokkoli, kokt 
Broccoli, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;35d;"bukett 
floret";;;;;
"Gulrot, kokt 
Carrot, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;50/75/120d;"stk 
one";;;;;
"Hodekål, kokt 
Cabbage, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;1125d;"stk 
one";;;;;
"Kålrot, kokt 
Swede, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;780d;"stk 
one";;;;;
"Løk, gul/rød, kokt 
Onion, yellow/red, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;157d;"stk 
one";;;;;
"Paprika, kokt 
Sweet pepper, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;125d;"stk 
one";;;;;
"Persillerot, kokt 
Parsley root, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;85d;"stk 
one";;;;;
"Rosenkål, kokt 
Brussel sprouts, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;12,5d;"stk 
one";;;;;
"Rødkål, kokt 
Cabbage, red, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;1175d;"stk 
one";;;;;
"Søtpotet, kokt 
Sweet potato, cooked";"Grønnsaker tilberedt
 Vegetables prepared";;;;;120d;"stk 
one";;;;;
"Agurker, syltede 
Cucumber, pickled";"Grønnsaksprodukter
 Vegetable products";55ag;;;;5ag;"skive 
slice";;;;;
"Asparges, hermetisk 
Asparagus, canned";"Grønnsaksprodukter
 Vegetable products";;;;;10ag;"stk 
one";;;;;
"Bambusskudd, hermetisk 
Bamboo shoots, canned";"Grønnsaksprodukter
 Vegetable products";60a;;;;3a;"stk 
one";;;;;
"Grønnsaksblanding, wokblanding, frossen 
Wok mix, frozen";"Grønnsaksprodukter
 Vegetable products";50a;;;;;;;;;;
"Ingefær, syltet 
Ginger, pickled";"Grønnsaksprodukter
 Vegetable products";;;;;5ģ;"porsjon (til sushi) 
portion (for sushi)";;;;;
"Kapers, hermetisk 
Capers, canned";"Grønnsaksprodukter
 Vegetable products";60a;;;;3a;"stk 
one";;;;;
"Nori, tørket tang 
Nori, seaweed, dried";"Grønnsaksprodukter
 Vegetable products";;;;;2,5o;"stk 
one";;;;;
"Oliven, grønne, pickles 
Olives, green, pickled";"Grønnsaksprodukter
 Vegetable products";50a;;;;3/7a;"stk 
one";;;;;
"Oliven, svarte, i olje, hermetisk 
Olives, black, in oil, canned";"Grønnsaksprodukter
 Vegetable products";50a;;;;3/6a;"stk 
one";;;;;
"Rødbeter, syltede 
Beetroot, pickled, canned";"Grønnsaksprodukter
 Vegetable products";70ag;;;;12ag;"skive 
slice";;;;;
"Sopp, sjampinjong, hermetisk 
Mushroom, button, canned";"Grønnsaksprodukter
 Vegetable products";75ag;;;;;;;;;;
"Surkål 
Sauerkraut";"Grønnsaksprodukter
 Vegetable products";100a;;;;;;;;;;
"Tomat, hermetisk 
Tomatoes, canned";"Grønnsaksprodukter
 Vegetable products";100e;;;;;;;;;;
"Tomat, soltørket 
Tomatoes, sun-dried";"Grønnsaksprodukter
 Vegetable products";;;;;3a;"stk 
one";;;;;
"Tomat, soltørket, innlagt i olje 
Tomatoes, sun-dried, in oil";"Grønnsaksprodukter
 Vegetable products";;;;;7a;"stk 
one";;;;;
"Tomatketchup 
Tomato ketchup";"Grønnsaksprodukter
 Vegetable products";110ag;;;;20a;"spiseskje 
tablespoon";;;;;
"Tomatpuré 
Tomato purée";"Grønnsaksprodukter
 Vegetable products";100e;;;;18a;"spiseskje 
tablespoon";;;;;
"Vannkastanjer, hermetisk 
Water chestnuts, canned";"Grønnsaksprodukter
 Vegetable products";65a;;;;;;;;;;
"Bønner, brune, kokt 
Beans, brown, cooked";"Belgfrukter 
Legumes";;;;;190d;"porsjon 
portion";;;;;
"Bønner, brune, tørre 
Beans, brown, dry";"Belgfrukter 
Legumes";80ag;;;;80ah;"porsjon 
portion";;;;;
"Bønner, grønne, frosne 
Beans, green, frozen";"Belgfrukter 
Legumes";;;;;3f;"stk 
one";;;;;
"Bønner, grønne, rå 
Beans, green, raw";"Belgfrukter 
Legumes";;;;;3a;"stk 
one";;;;;
"Bønner, hvite, i tomatsaus, hermetisk 
Beans, white, in tomato sauce, canned";"Belgfrukter 
Legumes";110a;;;;19a;"spiseskje 
tablespoon";;;;;
"Bønner, hvite, kokt
Beans, white, cooked";"Belgfrukter 
Legumes";;;;;;;;;;;
"Bønner, hvite, store, hermetisk 
Beans, white, large, canned";"Belgfrukter 
Legumes";85a;;;;3a;"stk 
one";;;;;
"Bønner, hvite, tørre 
Beans, white, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Bønner, mung, tørre 
Beans, mung, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Bønner, røde kidney, hermetisk 
Beans, red kidney, canned";"Belgfrukter 
Legumes";90a;;;;18a;"spiseskje 
tablespoon";;;;;
"Bønner, røde kidney, tørre 
Beans, red kidney, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Bønner, soya, tørre 
Beans, soya, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Bønner, svarte, hermetisk 
Beans, black, canned";"Belgfrukter 
Legumes";90a;;;;15a;"spiseskje 
tablespoon";;;;;
"Erter, frosne 
Peas, frozen";"Belgfrukter 
Legumes";60a;;;;;;;;;;
"Erter, hermetisk 
Peas, canned";"Belgfrukter 
Legumes";70ag;;;;19f;"spiseskje 
tablespoon";;;;;
"Erter, tørre 
Peas, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Kikerter, hermetisk 
Chick peas, canned";"Belgfrukter 
Legumes";75a;;;;19a;"spiseskje 
tablespoon";;;;;
"Kikerter, tørre 
Chick peas, dry";"Belgfrukter 
Legumes";80ag;;;;;;;;;;
"Linser, hermetisk 
Lentils, canned";"Belgfrukter 
Legumes";100a;;;;18a;"spiseskje 
tablespoon";;;;;
"Linser, kokt 
Lentils, cooked";"Belgfrukter 
Legumes";;;;;215d;"porsjon 
portion";;;;;
"Linser, tørre 
Lentils, dry";"Belgfrukter 
Legumes";85a;;;;85ah;"porsjon 
portion";;;;;
"Sukkererter, sugar snaps 
Sugar snap peas";"Belgfrukter 
Legumes";;;;;3,5a;"stk 
one";;;;;
"Ananas 
Pineapple";"Frukt 
fruit";;;;;65ag;"desiliter 
decilitre";1300am;51s;665b;;
"Appelsin 
Orange";"Frukt 
fruit";;;;;35a;"båt 
section";150/250/350a;78aa;115/195/275b;;
"Appelsin 
Orange";"Frukt 
fruit";;;;;70a;"desiliter 
decilitre";150/250/350a;78aa;115/195/275b;;
"Aprikos 
Apricots";"Frukt 
fruit";;;;;;;37c;93av;35av;;
"Avocado 
Avocado";"Frukt 
fruit";;;;;60a;"desiliter biter
decilitre pieces";175/300a;74av;130/220b;;
"Avocado 
Avocado";"Frukt 
fruit";;;;;90a ;"desiliter mos
decilitre mashed";175/300a;74av;130/220b;;
"Banan 
Banana";"Frukt 
fruit";;;;;75a;"desiliter 
decilitre";180a;66aa;120b;;
"Carambola, stjernefrukt 
Carambola, starfruit";"Frukt 
fruit";;;;;;;90av;97au;85b;;
"Cherimoya 
Cherimoya";"Frukt 
fruit";;;;;75f;"desiliter 
decilitre";305a;69av;210b;;
"Drue, med stein 
Grapes, with seeds";"Frukt 
fruit";;;;;70ag;"desiliter 
decilitre";6c;96av;6ag;;
"Drue, uten stein 
Grapes, without seeds";"Frukt 
fruit";;;;;70f;"desiliter 
decilitre";4a;100h;4b;;
"Eple
Apple";"Frukt 
fruit";;;;;50a;"desiliter 
decilitre";100/140/180a;91l;90/125/165b;;
"Fersken 
Peach";"Frukt 
fruit";;;;;;;170c;87an;150av;;
"Granateple 
Pomegranate";"Frukt 
fruit";;;;;60a;"desiliter 
decilitre";285a;66av;190b;;
"Grapefrukt 
Grapefruit";"Frukt 
fruit";;;;;;;260c;50av;130av;;
"Guava 
Guava";"Frukt 
fruit";;;;;;;65c;88av;55av;;
"Kaktusfiken 
Prickly pear";"Frukt 
fruit";;;;;;;105a;75av;80b;;
"Kiwi 
Kiwi fruit";"Frukt 
fruit";;;;;15a;"skive 
slice";100a;74av;75b;;
"Kiwi 
Kiwi fruit";"Frukt 
fruit";;;;;65a;"desiliter 
decilitre";;;;;
"Klementin 
Clementine";"Frukt 
fruit";;;;;;;80/110a;77av;60/85b;;
"Kokosnøtt 
Coconut";"Frukt 
fruit";;;;;;;520c;52av;270aq;;
"Kumquat 
Kumquat";"Frukt 
fruit";;;;;;;20c;93av;19av;;
"Lime 
Lime";"Frukt 
fruit";;;;;10a;"båt/skive 
section/slice";80a;84av;65b;;
"Litchi 
Lychee";"Frukt 
fruit";;;;;;;20a;60av;12b;;
"Mango 
Mango";"Frukt 
fruit";;;;;70ag;"desiliter 
decilitre";470c;71av;335av;;
"Melon, galia 
Melon, galia";"Frukt 
fruit";;;;;55f;"skive 
slice";550aq;65au;360b;;
"Melon, galia 
Melon, galia";"Frukt 
fruit";;;;;70f;"desiliter 
decilitre";;;;;
"Melon, honning 
Melon, honeydew";"Frukt 
fruit";;;;;55a;"skive 
slice";800aq;46av;370b;;
"Melon, honning 
Melon, honeydew";"Frukt 
fruit";;;;;70f;"desiliter 
decilitre";;;;;
"Melon, kantaloupe 
Melon, cantaloupe";"Frukt 
fruit";;;;;70f;"desiliter 
decilitre";550aq;51av;280b;;
"Melon, vann 
Melon, water";"Frukt 
fruit";;;;;80a;"skive 
slice";1500ag;46an;690b;;
"Melon, vann 
Melon, water";"Frukt 
fruit";;;;;70ag;"desiliter 
decilitre";;;;;
"Nektarin 
Nectarine";"Frukt 
fruit";;;;;75f;"desiliter 
decilitre";125aq;91av;115b;;
"Papaya 
Papaya";"Frukt 
fruit";;;;;60aq;"desiliter 
decilitre";400aq;62av;250b;;
"Pasjonsfrukt 
Passion fruit";"Frukt 
fruit";;;;;;;30c;61au;18av;;
"Plomme 
Plums";"Frukt 
fruit";;;;;65a;"desiliter 
decilitre";35w/55a/110a;94ad;30/50/105b;;
"Pomelo 
Pomelo";"Frukt 
fruit";;;;;20a;"båt 
section";815a;61au;495b;;
"Pomelo 
Pomelo";"Frukt 
fruit";;;;;60a;"desiliter 
decilitre";;;;;
"Pære 
Pear";"Frukt 
fruit";;;;;60a;"desiliter 
decilitre";160/230a;90av;145/205b;;
"Sharon, kakifrukt 
Persimmon, kaki fruit";"Frukt 
fruit";;;;;75a;"desiliter 
decilitre";155a;82av;125b;;
"Sitron 
Lemon";"Frukt 
fruit";;;;;15a;"skive 
slice";150a;53av;80b;;
"Aronia, svartsurbær 
Black chokeberries";"Bær 
berries";55f;;;;;;;100j;;;
"Bjørnebær 
Blackberries";"Bær 
berries";55a;;;;;;;100j;6a;;
"Blokkebær, mikkelsbær 
Bog blueberries";"Bær 
berries";55f;;;;;;;100j;;;
"Blåbær 
Blueberries";"Bær 
berries";55a;;;;;;;100j;;;
"Bringebær 
Raspberries";"Bær 
berries";50a;;;;;;;100j;5a;;
"Hyllebær 
Elderberries";"Bær 
berries";55f;;;;;;;94an;;;
"Jordbær 
Strawberries";"Bær 
berries";60a;;;;;;10/20/30c;98ad;10/20/30a;;
"Kirsebær 
Cherries";"Bær 
berries";60ag;;;;;;8am;86ac;7b;;
"Molter 
Cloudberries";"Bær 
berries";50ag;;;;;;;100j;3m;;
"Moreller 
Cherries, sweet";"Bær 
berries";60ag;;;;;;10q;89ac;9b;;
"Nype 
Rosehip";"Bær 
berries";60m;;;;;;;65an;;;
"Physalis 
Cape gooseberries";"Bær 
berries";60a;;;;;;4,8a;94av;4,5b;;
"Rips 
Redcurrants";"Bær 
berries";50ag;;;;;;;100j;0,7am;;
"Rognebær 
Rowan-berries";"Bær 
berries";55f;;;;;;;100j;;;
"Solbær 
Blackcurrants";"Bær 
berries";50ag;;;;;;;100j;;;
"Stikkelsbær 
Gooseberries";"Bær 
berries";60ag;;;;;;3c;98an;3al;;
"Tranebær 
Cranberries";"Bær 
berries";55f;;;;;;;100j;;;
"Tyttebær 
Lingonberries, cowberries";"Bær 
berries";55a;;;;;;;100j;;;
"Ananas, hermetisk 
Pineapple, canned";"Produkter av frukt og bær 
Fruit and berry products";105ag;;;;40ag;"ring 
ring";;;;;
"Aprikos, hermetisk 
Apricots, canned";"Produkter av frukt og bær 
Fruit and berry products";105ag;;;;40ag;"stk 
one piece";;;;;
"Aprikos, tørket 
Apricots, dried";"Produkter av frukt og bær 
Fruit and berry products";50al;;;;7al;"stk 
one";;;;;
"Daddel, tørket 
Dates, dried";"Produkter av frukt og bær 
Fruit and berry products";;;;;8ag/19m;"stk 
one";;84au;;;
"Eple, tørket 
Apple, dried";"Produkter av frukt og bær 
Fruit and berry products";25ag;;;;5ag;"ring 
ring";;;;;
"Fersken, hermetisk 
Peach, canned";"Produkter av frukt og bær 
Fruit and berry products";105ag;;;;90ag;"stk 
a piece";;;;;
"Fiken, tørket 
Figs, dried";"Produkter av frukt og bær 
Fruit and berry products";80ag;;;;20ag;"stk 
one";;96av;;;
"Fruktcocktail, hermetisk 
Fruit coctail, canned";"Produkter av frukt og bær 
Fruit and berry products";110ag;;;;;;;;;;
"Plomme, hermetisk 
Plums, canned";"Produkter av frukt og bær 
Fruit and berry products";120ag;;;;15ag;"stk 
one";;;;;
"Pære, hermetisk 
Pear, canned";"Produkter av frukt og bær 
Fruit and berry products";105ag;;;;90ag;"stk
a piece";;;;;
"Rosiner 
Raisins";"Produkter av frukt og bær 
Fruit and berry products";60a;;;;;;;;;;
"Svisker 
Prunes";"Produkter av frukt og bær 
Fruit and berry products";75ag;;;;8ag ;"stk 
one";;85an;;;
"Syltetøy, marmelade 
Jam, marmalade";"Produkter av frukt og bær 
Fruit and berry products";115a;;;;20ģ;"porsjon 
portion";;;;;
"Syltetøy, marmelade 
Jam, marmalade";"Produkter av frukt og bær 
Fruit and berry products";;;;;16a;"spiseskje 
tablespoon";;;;;
"Honning 
Honey";"Sukker søtt pålegg
 Sugar sweet spreads";140ag;22a;22a;11a;15ģ;"til en brødskive 
for a slice of bread";;;;;
"Melis 
Icing sugar";"Sukker søtt pålegg
 Sugar sweet spreads";55a;9a;8a;4a;;;;;;;
"Sirup 
Syrup";"Sukker søtt pålegg
 Sugar sweet spreads";140ag;19a;16a;7,5a;;;;;;;
"Sjokoladepålegg, nøttepålegg 
Chocolate spread, nut spread";"Sukker søtt pålegg
 Sugar sweet spreads";;;;;15ģ;"til en brødskive 
for a slice of bread";;;;;
"Sukker, brunt 
Sugar, brown";"Sukker søtt pålegg
 Sugar sweet spreads";70a;10a;10a;5,5a;;;;;;;
"Sukker, hvitt 
Sugar, white";"Sukker søtt pålegg
 Sugar sweet spreads";90a;14a;13a;5a;2ag;"sukkerbit 
sugar cube";;;;;
"Vaniljesukker 
Vanilla sugar";"Sukker søtt pålegg
 Sugar sweet spreads";;9a;9a;4,5a;;;;;;;
"Drops 
Drops, sweets";"Sjokolade snacks 
Chocolate candy";;;;;3ag;"stk 
one";;;;;
"Drops, fylt 
Drops, filled";"Sjokolade snacks 
Chocolate candy";;;;;5ag;"stk 
one";;;;;
"Geléfrukter, type Seigmenn 
Fruit jellies";"Sjokolade snacks 
Chocolate candy";;;;;5ag;"stk 
one";;;;;
"Hvit sjokolade 
White chocolate";"Sjokolade snacks 
Chocolate candy";;;;;4/8f;"rute 
square";;;;;
"Karamell 
Caramels";"Sjokolade snacks 
Chocolate candy";;;;;5/15a;"stk 
one";;;;;
"Karamell, med sjokoladetrekk 
Caramels, chocolate covered";"Sjokolade snacks 
Chocolate candy";;;;;6/12a;"stk 
one";;;;;
"Kokesjokolade 
Cooking chocolate";"Sjokolade snacks 
Chocolate candy";;;;;4o;"rute 
square";;;;;
"Kokesjokolade 
Cooking chocolate";"Sjokolade snacks 
Chocolate candy";;;;;100u;"plate 
bar";;;;;
"Kokosbolle 
Snowball";"Sjokolade snacks 
Chocolate candy";;;;;30/75a,u;"stk 
one";;;;;
"Konfekt 
Chocolates, filled";"Sjokolade snacks 
Chocolate candy";;;;;5/15u,ag;"stk 
one";;;;;
"Lakris 
Liquorice";"Sjokolade snacks 
Chocolate candy";;;;;5/15/20a,n,o;"stk 
one";;;;;
"Lakriskonfekt 
Liquorice sweets";"Sjokolade snacks 
Chocolate candy";;;;;3/20m,u;"stk 
one";;;;;
"Marsipan 
Marzipan";"Sjokolade snacks 
Chocolate candy";;;;;10a;"bit 
piece";;;;;
"Marsipan 
Marzipan";"Sjokolade snacks 
Chocolate candy";;;;;65/200u;"gris 
pig";;;;;
"Marsipan 
Marzipan";"Sjokolade snacks 
Chocolate candy";;;;;20a;"skive à 0,5 cm 
slice of 0.5 cm";;;;;
"Marsipanbrød 
Marzipan bar";"Sjokolade snacks 
Chocolate candy";;;;;25/40/65u;"stk 
one";;;;;
"Melkesjokolade 
Milk chocolate";"Sjokolade snacks 
Chocolate candy";;;;;4/8m;"rute 
square";;;;;
"Melkesjokolade, porøs 
Milk chocolate, aerated";"Sjokolade snacks 
Chocolate candy";;;;;3/45u;"bit 
bar";;;;;
"Mørk sjokolade 
Dark chocolate";"Sjokolade snacks 
Chocolate candy";;;;;4/8m;"rute 
square";;;;;
"Pastiller 
Pastilles";"Sjokolade snacks 
Chocolate candy";;;;;1m;"stk 
one";;;;;
"Sjokolade, fylt 
Chocolates, filled";"Sjokolade snacks 
Chocolate candy";;;;;35/85u;"stk 
one";;;;;
"Sjokolade med gelé og marsipan, type Troika 
Chocolate, with jelly and marzipan";"Sjokolade snacks 
Chocolate candy";;;;;15/65o,u ;"stk 
one";;;;;
"Skumgodter, marshmallows 
Marshmallows";"Sjokolade snacks 
Chocolate candy";;;;;7a;"stk 
one";;;;;
"Smågodt, blandet, uten sjokolade 
Sweets mix, without chocolate";"Sjokolade snacks 
Chocolate candy";;;;;3/8/15a;"stk 
one";;;;;
"Småsjokolader, løsvekt/pose 
Sweets mix, chocolate included";"Sjokolade snacks 
Chocolate candy";;;;;5/10a;"stk 
one";;;;;
"Tyggegummi 
Chewing gum";"Sjokolade snacks 
Chocolate candy";;;;;1am;"stk 
one";;;;;
"Baconcrisp 
Pork scratchings";"Sjokolade snacks 
Chocolate candy";;;;;17a;"desiliter 
decilitre";;;;;
"Baconcrisp 
Pork scratchings";"Sjokolade snacks 
Chocolate candy";;;;;2a;"stk 
one";;;;;
"Ostepop 
Cheese doodles";"Sjokolade snacks 
Chocolate candy";;;;;10a;"desiliter 
decilitre";;;;;
"Popcorn 
Popcorn";"Sjokolade snacks 
Chocolate candy";;;;;3a;"desiliter 
decilitre";;;;;
"Potetchips 
Potato crisps";"Sjokolade snacks 
Chocolate candy";;;;;12a;"desiliter 
decilitre";;;;;
"Potetskruer 
Potato snacks, extruded";"Sjokolade snacks 
Chocolate candy";;;;;20ag;"desiliter 
decilitre";;;;;
"Saltstenger 
Salted sticks";"Sjokolade snacks 
Chocolate candy";;;;;2ag;"stk 
one";;;;;
"Tortillachips, maischips 
Tortilla chips";"Sjokolade snacks 
Chocolate candy";;;;;3a;"stk 
one";;;;;
"Sesampasta, tahini 
Sesame paste, tahini";"Vegetarprodukter
 Vegetarian products";;;;;16a;"spiseskje 
tablespoon";;;;;
"Sesampasta, tahini 
Sesame paste, tahini";"Vegetarprodukter
 Vegetarian products";;;;;15f;"til en brødskive 
for a slice of bread";;;;;
"Soyabønneost, tofu 
Soybean curd, tofu";"Vegetarprodukter
 Vegetarian products";;;;;100a;"desiliter 
decilitre";;;;;
"Soyapølse, hermetisk 
Soy sausage, canned";"Vegetarprodukter
 Vegetarian products";;;;;40u;"til en brødskive 
for a slice of bread";;;;;
